TF,Targets
ATF1,REEP3
ATF1,ZMYND19
ATF1,ZNF408
ATF1,YPEL1
ATF1,GAPVD1
ATF1,LRRC58
ATF1,HGS
ATF1,NLRC5
ATF1,YIF1A
ATF1,HIST1H2BG
ATF1,REXO4
ATF1,CXXC1
ATF1,GADD45B
ATF1,METTL16
ATF1,IPO7
ATF1,PRPS2
ATF1,C6orf48
ATF1,ZNF644
ATF1,ABCC4
ATF1,COMMD2
ATF1,MUL1
ATF1,CD47
ATF1,FIP1L1
ATF1,RAB9A
ATF1,SYMPK
ATF1,PABPC4
ATF1,USP16
ATF1,TFAM
ATF1,DHX37
ATF1,ZNF566
ATF1,SIT1
ATF1,RER1
ATF1,PCYT2
ATF1,CCAR2
ATF1,DUSP6
ATF1,PSMA6
ATF1,SMAD2
ATF1,TUBA1C
ATF1,CEP131
ATF1,SLC39A6
ATF1,TSTD3
ATF1,NDUFAF4
ATF1,TMEM185A
ATF1,TMEM62
ATF1,POLR3H
ATF1,DNMBP
ATF1,TPR
ATF1,OARD1
ATF1,PDIA6
ATF1,RPL18A
ATF1,GPN1
ATF1,PIM3
ATF1,EDRF1
ATF1,TMEM33
ATF1,ADAP2
ATF1,KLC2
ATF1,BTF3L4
ATF1,EIF2S1
ATF1,CENPJ
ATF1,UTP3
ATF1,DGAT2
ATF1,SMIM4
ATF1,RNF130
ATF1,ALG11
ATF1,MFSD5
ATF1,PRPF18
ATF1,RFXAP
ATF1,IPO4
ATF1,CD82
ATF1,APEX2
ATF1,HMGN5
ATF1,FGFR1OP2
ATF1,TSR2
ATF1,SPNS1
ATF1,SNX9
ATF1,THAP12
ATF1,GGPS1
ATF1,GRK5
ATF1,NIP7
ATF1,UIMC1
ATF1,NDUFB7
ATF1,KIN
ATF1,MYL12A
ATF1,DDX20
ATF1,UBA1
ATF1,ACIN1
ATF1,CANT1
ATF1,MCRIP2
ATF1,TMEM237
ATF1,TMEM8A
ATF1,AP4M1
ATF1,GTF3C5
ATF1,CHID1
ATF1,POLR2H
ATF1,ADSL
ATF1,ZSCAN16
ATF1,DNAJC2
ATF1,DCK
ATF1,CCT6A
ATF1,SLU7
ATF1,MTA2
ATF1,BLOC1S4
ATF1,COPZ2
ATF1,ENO1
ATF1,OLA1
ATF1,BLCAP
ATF1,TRMT1
ATF1,CFAP20
ATF1,C1orf123
ATF1,WDFY2
ATF1,HMGXB4
ATF1,ARL2
ATF1,HNRNPR
ATF1,UACA
ATF1,TRIM33
ATF1,MAP3K7CL
ATF1,XRCC4
ATF1,LZTS2
ATF1,SERPINF1
ATF1,PATZ1
ATF1,ORMDL1
ATF1,EFNA4
ATF1,VRK2
ATF1,RPP38
ATF1,PNPO
ATF1,ELP2
ATF1,CUX1
ATF1,CTGF
ATF1,RBM22
ATF1,EIF6
ATF1,COG7
ATF1,GYG1
ATF1,IL13RA1
ATF1,DPY19L3
ATF1,DIAPH1
ATF1,TMEM97
ATF1,RPL39
ATF1,UBE2V2
ATF1,ADPRHL2
ATF1,ADGRG5
ATF1,SYTL2
ATF1,ATP2A3
ATF1,RMI2
ATF1,CCT7
ATF1,MOCS3
ATF1,SSBP1
ATF1,TBC1D14
ATF1,ARL2BP
ATF1,YRDC
ATF1,CASD1
ATF1,RBM39
ATF1,GCN1
ATF1,CAMK1D
ATF1,CTDSP1
ATF1,TUBB
ATF1,DNAJB6
ATF1,HMOX2
ATF1,SP110
ATF1,PSMC5
ATF1,AKAP12
ATF1,KCTD13
ATF1,TARDBP
ATF1,FAM122B
ATF1,STK26
ATF1,PIGC
ATF1,AGO1
ATF1,RNF146
ATF1,USP12
ATF1,AGFG1
ATF1,TAF1D
ATF1,BRCC3
ATF1,BCLAF1
ATF1,TFE3
ATF1,SNW1
ATF1,DDX21
ATF1,ABCC10
ATF1,RPS17
ATF1,RRAS
ATF1,EXOC2
ATF1,PRMT3
ATF1,MLST8
ATF1,ALG10
ATF1,HVCN1
ATF1,CXCR4
ATF1,IST1
ATF1,RAD23B
ATF1,TIMM23
ATF1,CTNNBL1
ATF1,CBLL1
ATF1,TIAL1
ATF1,BOLA2-SMG1P6
ATF1,FRG1
ATF1,SLC35A1
ATF1,CLEC11A
ATF1,MCAT
ATF1,MRPS10
ATF1,C3orf38
ATF1,PAWR
ATF1,TRPV3
ATF1,UBXN1
ATF1,CD44
ATF1,KIF13B
ATF1,BUB1B
ATF1,TCF25
ATF1,LRRC47
ATF1,LIPE
ATF1,MSC
ATF1,RASSF1-AS1
ATF1,HPF1
ATF1,MRPS7
ATF1,ERI2
ATF1,SIRT6
ATF1,LRPPRC
ATF1,MYO7B
ATF1,LRRC2
ATF1,RAB10
ATF1,JKAMP
ATF1,TSN
ATF1,SPINT1
ATF1,MED4
ATF1,RCL1
ATF1,MAP2K4
ATF1,NOL11
ATF1,GLRX3
ATF1,STOML2
ATF1,CMTM7
ATF1,PPRC1
ATF1,KNSTRN
ATF1,MRPL3
ATF1,IRS1
ATF1,ERICH1
ATF1,ASCC2
ATF1,ZMYND8
ATF1,MARS2
ATF1,RBM8A
ATF1,MED7
ATF1,WDR12
ATF1,USP30
ATF1,OPA1
ATF1,NOM1
ATF1,TCP1
ATF1,ARSK
ATF1,SMIM15
ATF1,PNP
ATF1,EIF3I
ATF1,BNIP2
ATF1,PARP3
ATF1,YBX1
ATF1,COG2
ATF1,CENPC
ATF1,NDUFA4L2
ATF1,ITPK1
ATF1,EXOC7
ATF1,NUP54
ATF1,DBNL
ATF1,RPS6KC1
ATF1,GPATCH3
ATF1,EZH1
ATF1,NPLOC4
ATF1,PTGES3
ATF1,HNRNPL
ATF1,MITD1
ATF1,TMEM163
ATF1,SLC36A4
ATF1,HHEX
ATF1,NMD3
ATF1,NUDCD1
ATF1,NARS
ATF1,CLUAP1
ATF1,SAMD10
ATF1,SF3B2
ATF1,RPL23A
ATF1,SLC43A2
ATF1,GALNT2
ATF1,GPR180
ATF1,DDB1
ATF1,NXPE3
ATF1,TRIM4
ATF1,CRAT
ATF1,TRAFD1
ATF1,LYAR
ATF1,UHRF2
ATF1,UBR3
ATF1,PCID2
ATF1,PARM1
ATF1,MYO5A
ATF1,CWF19L2
ATF1,C18orf25
ATF1,TMEM102
ATF1,RIOK2
ATF1,PKHD1L1
ATF1,SNX12
ATF1,ITPRIPL2
ATF1,CNOT9
ATF1,GABPA
ATF1,TIMM22
ATF1,DTD2
ATF1,HIST1H4D
ATF1,GPATCH4
ATF1,CCDC6
ATF1,PNPT1
ATF1,NXT1
ATF1,DEPDC5
ATF1,SLC27A4
ATF1,GMCL1
ATF1,LRRC75A
ATF1,C17orf53
ATF1,RNF26
ATF1,CHD6
ATF1,NPM1
ATF1,CAPN15
ATF1,ALDH9A1
ATF1,C12orf57
ATF1,BCAT1
ATF1,RPL30
ATF1,NAA20
ATF1,HP1BP3
ATF1,DHX16
ATF1,MIR155HG
ATF1,DCAF13
ATF1,SMC5
ATF1,CHD1L
ATF1,ZNF552
ATF1,TMEM14B
ATF1,ORC2
ATF1,PLEKHA8
ATF1,MKRN1
ATF1,PPIE
ATF1,NSUN2
ATF1,SCNM1
ATF1,PPP1R14B
ATF1,TMED1
ATF1,PSMA1
ATF1,WDR83
ATF1,SNAPC2
ATF1,NELFCD
ATF1,POLH
ATF1,CUL5
ATF1,CIAPIN1
ATF1,EMP3
ATF1,INCENP
ATF1,PITRM1
ATF1,SH3BP5
ATF1,HNRNPDL
ATF1,C5orf30
ATF1,RPS10
ATF1,FASTKD2
ATF1,ARFRP1
ATF1,BLOC1S2
ATF1,NUTF2
ATF1,DHX15
