geneset genes
CD40_basso_genes ZFP36L1
BCR_rnaseq_genes FUCA2
BCR_rnaseq_genes LASP1
BCR_rnaseq_genes MATK
BCR_rnaseq_genes RHBDF1
BCR_rnaseq_genes RHOBTB2
BCR_rnaseq_genes CD22
BCR_rnaseq_genes XYLT2
BCR_rnaseq_genes AKAP11
BCR_rnaseq_genes SH2D2A
BCR_rnaseq_genes POU2F2
BCR_rnaseq_genes ATP6V0A1
BCR_rnaseq_genes THAP3
BCR_rnaseq_genes TNFRSF17
BCR_rnaseq_genes USP13
BCR_rnaseq_genes ANKS1A
BCR_rnaseq_genes NTHL1
BCR_rnaseq_genes KDM4A
BCR_rnaseq_genes SYT1
BCR_rnaseq_genes GBA2
BCR_rnaseq_genes NDST1
BCR_rnaseq_genes LMCD1
BCR_rnaseq_genes PTPN18
BCR_rnaseq_genes CIC
BCR_rnaseq_genes TDRD3
BCR_rnaseq_genes NOA1
BCR_rnaseq_genes ZNF213
BCR_rnaseq_genes GNAS
