"final_gene_name"	"Z-score"	"Enriched in"	"affy_hg_u133_plus_2"
"403"	"PRR11"	-12.076	"DZ"	"228273_at"
"404"	"HMMR"	-11.857	"DZ"	"209709_s_at"
"405"	"DEPDC1"	-11.752	"DZ"	"222958_s_at"
"406"	"AC068831.7"	-11.296	"DZ"	"218009_s_at"
"407"	"PRC1"	-11.296	"DZ"	"218009_s_at"
"408"	"MND1"	-11.172	"DZ"	"223700_at"
"409"	"TRMU"	-11.109	"DZ"	"204317_at"
"410"	"ARL6IP1"	-10.808	"DZ"	"211935_at"
"411"	"ASPM"	-10.763	"DZ"	"219918_s_at"
"412"	"TAPT1"	-10.13	"DZ"	"227407_at"
"413"	"PSRC1"	-10.103	"DZ"	"201896_s_at"
"414"	"TOP2A"	-9.83	"DZ"	"201291_s_at"
"415"	"CDC20"	-9.778	"DZ"	"202870_s_at"
"416"	"CDKN3"	-9.662	"DZ"	"209714_s_at"
"417"	"CDKN3"	-9.588	"DZ"	"1555758_a_at"
"418"	"FOXM1"	-9.477	"DZ"	"202580_x_at"
"419"	"TCF3"	-9.39	"DZ"	"209153_s_at"
"420"	"GTSE1"	-9.351	"DZ"	"215942_s_at"
"421"	"NEIL3"	-9.288	"DZ"	"219502_at"
"422"	"ANLN"	-9.121	"DZ"	"222608_s_at"
"423"	"NCAPH"	-8.745	"DZ"	"212949_at"
"424"	"MXD3"	-8.562	"DZ"	"221250_s_at"
"425"	"SGO2"	-8.486	"DZ"	"230165_at"
"426"	"NCAPG"	-8.456	"DZ"	"218662_s_at"
"427"	"NEK2"	-8.438	"DZ"	"211080_s_at"
"428"	"CCNB1"	-8.357	"DZ"	"214710_s_at"
"429"	"RACGAP1"	-8.274	"DZ"	"222077_s_at"
"430"	"TPD52"	-8.218	"DZ"	"201688_s_at"
"431"	"TERF2"	-8.196	"DZ"	"203611_at"
"432"	"AC087721.2"	-8.185	"DZ"	"218039_at"
"433"	"NUSAP1"	-8.185	"DZ"	"218039_at"
"434"	"H2AFV"	-7.958	"DZ"	"202487_s_at"
"435"	"H2AFVP1"	-7.958	"DZ"	"202487_s_at"
"436"	"FAM83D"	-7.939	"DZ"	"225687_at"
"437"	"CDK1"	-7.828	"DZ"	"203214_x_at"
"438"	"UBE2SP2"	-7.758	"DZ"	"202779_s_at"
"439"	"UBE2SP1"	-7.758	"DZ"	"202779_s_at"
"440"	"UBE2S"	-7.758	"DZ"	"202779_s_at"
"441"	"HMMR"	-7.727	"DZ"	"207165_at"
"442"	"BIRC5"	-7.709	"DZ"	"202095_s_at"
"443"	"UBE2C"	-7.692	"DZ"	"202954_at"
"444"	"CDCA3"	-7.689	"DZ"	"221436_s_at"
"445"	"CKAP5"	-7.562	"DZ"	"212832_s_at"
"446"	"CDCA8"	-7.544	"DZ"	"221520_s_at"
"447"	"HJURP"	-7.524	"DZ"	"218726_at"
"448"	"WNT2B"	-7.515	"DZ"	"238512_at"
"449"	"SMC4"	-7.426	"DZ"	"201664_at"
"450"	"NDC1"	-7.381	"DZ"	"218073_s_at"
"451"	"SGO2"	-7.266	"DZ"	"235425_at"
"452"	"KNSTRN"	-7.211	"DZ"	"225300_at"
"453"	"CKAP5"	-7.197	"DZ"	"1555278_a_at"
