TF	Targets
ATF6	ELL
ATF6	ELL2
ATF6	ELMOD2
ATF6	EMC10
ATF6	EMC2
ATF6	EMC3
ATF6	EMC4
ATF6	ENTPD1
ATF6	ENTPD4
ATF6	EPHX1
ATF6	EPRS
ATF6	ERC1
ATF6	ERGIC1
ATF6	ERGIC2
ATF6	ERGIC3
ATF6	ERLEC1
ATF6	ERN1
ATF6	ERO1A
ATF6	ERO1B
ATF6	ERP29
ATF6	ERP44
ATF6	ESR2
ATF6	ESYT2
ATF6	ETNK1
ATF6	EVI2B
ATF6	F2RL3
ATF6	FAM13A
ATF6	FAM160B2
ATF6	FAM174A
ATF6	FAM177A1
ATF6	FAM214A
ATF6	FAM3C
ATF6	FAM49A
ATF6	FAM91A1
ATF6	FAM98A
ATF6	FANCE
ATF6	FASTK
ATF6	FBXL15
ATF6	FBXO11
ATF6	FBXO16
ATF6	FBXW7
ATF6	FDX1
ATF6	FIS1
ATF6	FKBP11
ATF6	FKBP14
ATF6	FKBP2
ATF6	FN3KRP
ATF6	FNDC3A
ATF6	FNDC3B
ATF6	FNTB
ATF6	FOS
ATF6	FOXN3
ATF6	FOXO3
ATF6	FRA10AC1
ATF6	FRZB
ATF6	FTL
ATF6	FTSJ1
ATF6	FUCA2
ATF6	FUNDC2
ATF6	FUT8
ATF6	FUZ
ATF6	G3BP2
ATF6	GABARAP
ATF6	GADD45A
ATF6	GADD45B
ATF6	GALK2
ATF6	GALNT2
ATF6	GAN
ATF6	GAS6
ATF6	GCSH
ATF6	GEMIN7
ATF6	GFPT1
ATF6	GGH
ATF6	GHITM
ATF6	GIGYF2
ATF6	GIT1
ATF6	GLCCI1
ATF6	GLG1
ATF6	GLIPR1
ATF6	GLRX
ATF6	GLS
ATF6	GLT8D1
ATF6	GMPPA
ATF6	GMPPB
ATF6	GNL3
ATF6	GNPTG
ATF6	GOLGA2
ATF6	GOLGA4
ATF6	GOLGA5
ATF6	GOLGB1
ATF6	GOLPH3
ATF6	GOLPH3L
ATF6	GOLT1B
ATF6	GORASP2
ATF6	GOSR2
ATF6	GPCPD1
ATF6	GPLD1
ATF6	GPR108
ATF6	GPR89A
ATF6	GPR89B
ATF6	GPS2
ATF6	GPX7
ATF6	GRINA
ATF6	GRK6
ATF6	GRN
ATF6	GTF2B
ATF6	GUK1
ATF6	GUSB
ATF6	GYS1
ATF6	H1FX
ATF6	HAGH
ATF6	HARBI1
ATF6	HAX1
ATF6	HBP1
ATF6	HCST
ATF6	HDLBP
ATF6	HECW2
ATF6	HERPUD1
ATF6	HEXA
ATF6	HEXB
ATF6	HIBCH
ATF6	HIST1H1C
ATF6	HIST1H2BN
ATF6	HLA-A
ATF6	HLA-B
ATF6	HLA-DQA2
ATF6	HLA-DQB1
ATF6	HLA-DRB5
ATF6	HLA-E
ATF6	HM13
ATF6	HOOK2
ATF6	HOXB2
ATF6	HOXB7
ATF6	HPCAL1
ATF6	HSD17B11
ATF6	HSP90B1
ATF6	HSPA13
ATF6	HSPA5
ATF6	IBTK
ATF6	ICAM1
ATF6	ICAM2
ATF6	ICAM3
ATF6	IDH2
ATF6	IDH3G
ATF6	IER2
ATF6	IER3IP1
ATF6	IFI27L2
ATF6	IFNAR1
ATF6	IFNAR2
